新北市,1947,1953,1964,1958,1947,1942,1939,1934,1933,1927,1919,1908,1899,639,637
臺北市,9127,9288,9575,9732,9818,9872,9918,9951,9942,9884,9835,9753,9635,531,528
桃園市,1869,1861,1858,1842,1819,1792,1759,1725,1686,1220,1212,1203,1196,1887,1868
臺中市,1271,1270,1274,1271,1266,1258,1249,1239,1228,859,859,856,855,215,215
臺南市,845,850,855,858,860,861,861,860,860,943,943,941,941,1621,1604
高雄市,924,930,937,939,940,941,942,941,943,351,351,350,351,358,353
宜蘭縣,209,210,211,212,212,213,213,214,214,1674,1663,1649,1640,761,759
新竹縣,407,403,400,395,390,387,384,380,377,372,367,363,359,1222,1222
苗栗縣,294,296,298,300,302,304,307,310,312,311,310,309,308,129,129
彰化縣,1159,1168,1179,1185,1189,1194,1198,1200,1202,1206,1210,1213,1217,560,561
南投縣,117,118,120,120,121,122,123,124,125,126,127,127,128,288,289
雲林縣,514,519,524,528,531,535,538,542,546,548,551,553,556,548,548
嘉義縣,256,259,262,264,266,269,271,273,276,278,280,283,285,445,445
屏東縣,288,290,293,295,297,299,301,303,305,307,309,311,315,318,319
臺東縣,60,61,61,62,62,62,63,63,64,64,64,65,66,66,66
花蓮縣,69,69,70,70,71,71,71,72,72,72,72,73,73,74,74
澎湖縣,845,838,835,829,823,820,814,806,802,791,779,766,764,758,735
基隆市,2723,2742,2769,2779,2788,2798,2803,2803,2810,2824,2841,2862,2893,2925,2930
新竹市,4344,4346,4334,4309,4279,4235,4199,4168,4148,4114,4081,4033,3988,3952,3892
嘉義市,4380,4410,4432,4460,4475,4488,4496,4504,4513,4513,4518,4524,4538,6570,6524
福建省,860,860,853,849,844,833,819,805,777,736,689,632,595,4562,4561
金門縣,932,933,927,924,918,906,891,876,842,796,746,685,642,4390,4375
連江縣,486,474,461,454,453,447,437,436,434,422,393,351,345,9593,9650